id,food_id,serving_weight,measure
94,6,1000.0,kg
95,6,100,g
96,6,28.3495,wt. oz
97,6,2.3,serving 1 cube
98,6,12.55,tbsp
99,6,4.1825,teaspoon
100,6,4.2,tsp
101,6,4.18,teaspoon
102,6,4.1667,teaspoon
103,6,12.5533,tablespoon
104,6,4.2,teaspoon
105,6,4.1867,teaspoon
106,6,0.26,pinch
107,6,453.59,lb
108,6,28.35,ounce
109,6,12.56,tablespoon
110,6,4.1833,teaspoon
111,6,2.8,serving packet
112,6,4.1839,teaspoon
113,6,4.185,teaspoon
114,6,1.0,g
115,6,4.1818,teaspoon
116,6,12.552,tablespoon
117,6,453.6,lb
118,6,12.6,tbsp
119,6,12.55,tablespoon
120,7,5,"pat (1"" sq, 1/3"" high)"
121,7,4.73,tsp
122,7,227,cup
123,7,100,g
124,7,14.2,tablespoon
125,7,28.3495,wt. oz
126,7,14.1925,tablespoon
127,7,4.73,teaspoon
128,7,14.1933,tablespoon
129,7,14.19,tablespoon
130,7,28.35,ounce
131,7,453.59,lb
132,7,113,stick
133,7,14.195,tablespoon
134,7,4.7325,teaspoon
135,7,1.0,g
136,7,14.2,tbsp
137,7,28.35,oz
138,7,453.6,lb
139,7,4.7333,teaspoon
140,7,0.14,calorie
141,8,56,extra large
142,8,243,cup (4.86 large eggs)
143,8,100,g
144,8,38,small
145,8,28.3495,wt. oz
146,8,63,jumbo
147,8,50.0,large
148,8,44,medium
149,9,42,jumbo
150,9,33.0,large
151,9,46,tbsp
152,9,100,g
153,9,243,cup
154,9,5.06,tsp
155,9,25,small
156,9,29,medium
157,9,28.3495,wt. oz
158,9,37,extra large
159,10,1000.0,kg
160,10,2.6033,teaspoon
161,10,125,cup
162,10,7.81,tbsp
163,10,1.0,g
164,10,100,g
165,10,7.8133,tablespoon
166,10,2.6,teaspoon
167,10,7.81,tablespoon
168,10,7.8125,tablespoon
169,10,28.3495,wt. oz
170,10,7.815,tablespoon
171,10,7.812,tablespoon
172,10,28.35,ounce
173,10,453.59,lb
174,10,2.6067,teaspoon
175,10,2.605,teaspoon
176,10,2.6,tsp
177,11,292,cup
178,11,6,tsp
179,11,16.37,tablespoon
180,11,5.4167,teaspoon
181,11,16.3636,tablespoon
182,11,453.5933,lb
183,11,16.368,tablespoon
184,11,1.108,ml
185,11,100,g
186,11,28.3495,wt. oz
187,11,0.4,dash
188,11,5.4578,teaspoon
189,11,18,tbsp
190,11,16.3667,tablespoon
191,11,5.44,teaspoon
192,11,5.4474,teaspoon
193,11,0.34,pinche
194,11,5.455,teaspoon
195,11,453.59,lb
196,11,28.35,ounce
197,11,5.4586,teaspoon
198,11,5.4567,teaspoon
199,11,0.34,pinch
200,11,1.5,tsp
201,11,5.456,teaspoon
202,11,16.3713,tablespoon
203,11,1.0,g
204,11,5.4533,teaspoon
205,11,5.4545,teaspoon
206,11,5.4575,teaspoon
207,11,16.36,tablespoon
208,11,5.46,teaspoon
209,11,1.5,to taste
210,11,28.36,ounce
211,12,15.306,tablespoon
212,12,100,g
213,12,980,quart
214,12,30.6,fl oz
215,12,15.31,tbsp
216,12,5.1,tsp
217,12,245.0,cup
218,13,100,g
219,13,28.3495,wt. oz
220,13,1.75,tsp
221,13,5.72,tablespoon
222,13,84.0,cup
223,13,31,tbsp
224,14,100,g
225,14,32,"large (approx 3-1/2"" to 4"" dia)"
226,14,28.35,oz
227,14,226.8,cup
228,14,7,cookie
229,15,14.9,tbsp
230,15,14.925,tablespoon
231,15,14.9233,tablespoon
232,15,100,g
233,15,4.975,teaspoon
234,15,28.3495,wt. oz
235,15,5,tsp
236,15,14.92,tablespoon
237,15,238.0,cup
238,16,7,slice
239,16,158,small
240,16,280,large
241,16,100,g
242,16,52,cup slice
243,16,104.0,cup
244,16,28.3495,wt. oz
245,16,453.59,lb
246,16,201.0,medium
247,16,301,"cucumber (8-1/4"")"
248,17,3.33,teaspoon
249,17,160.0,cup
250,17,100,g
251,17,42.53,shallot
252,17,28.3495,wt. oz
253,17,10.0,tablespoon
254,17,10,tbsp chopped
255,18,4.6,tsp
256,18,202,cup
257,18,13.21,tablespoon
258,18,100,g
259,18,13.8,tbsp
260,18,28.3495,wt. oz
261,19,100,g
262,19,36,waterchestnut
263,19,62,cup slice
264,19,7.75,tablespoon
265,19,124.0,cup
266,19,28.3495,wt. oz
267,20,100,g
268,20,90,"cup, sliced"
269,20,28.3495,wt. oz
270,20,5.63,tablespoon
271,20,14,pepper
272,21,4.732,teaspoon
273,21,14.1937,tablespoon
274,21,14.1943,tablespoon
275,21,5,"pat (1"" sq, 1/3"" high)"
276,21,28.3533,ounce
277,21,4.73,tsp
278,21,0.9599,ml
279,21,14.194,tablespoon
280,21,227.0,cup
281,21,100,g
282,21,14.2,tablespoon
283,21,28.3495,wt. oz
284,21,14.1925,tablespoon
285,21,4.73,teaspoon
286,21,0.9598,ml
287,21,14.1933,tablespoon
288,21,14.19,tablespoon
289,21,28.35,ounce
290,21,453.59,lb
291,21,113,stick
292,21,14.195,tablespoon
293,21,4.7325,teaspoon
294,21,1.0,g
295,21,453.5867,lb
296,21,14.2,tbsp
297,21,28.35,oz
298,21,453.6,lb
299,21,4.7333,teaspoon
300,21,14.192,tablespoon
301,22,182.52,cup
302,22,182.5,cup
303,22,3.68,teaspoon
304,22,182.504,cup
305,22,11.0433,tablespoon
306,22,11.04,tablespoon
307,22,220,cup packed
308,22,11.045,tablespoon
309,22,453.5933,lb
310,22,100,g
311,22,182.5152,cup
312,22,28.3495,wt. oz
313,22,0.7468,ml
314,22,4.6,tsp packed
315,22,182.5022,cup
316,22,0.7467,ml
317,22,453.59,lb
318,22,28.35,ounce
319,22,11.0417,tablespoon
320,22,11.0422,tablespoon
321,22,3.2,tsp brownulated
322,22,182.5075,cup
323,22,1.0,g
324,22,145,cup unpacked
325,22,3,tsp unpacked
326,22,11.0425,tablespoon
327,22,182.5067,cup
328,23,2.8,serving packet
329,23,4.185,teaspoon
330,23,100,g
331,23,0.26,pinch
332,23,28.3495,wt. oz
333,23,2.3,serving 1 cube
334,23,453.5933,lb
335,23,453.59,lb
336,23,200,cup
337,23,4.2,tsp
338,23,4.18,teaspoon
339,23,12.55,tablespoon
340,23,12.6,tbsp
341,24,17.0,large
342,24,15.19,tbsp
343,24,13,small
344,24,19,extra large
345,24,100,g
346,24,243,cup
347,24,5.06,tsp
348,24,28.3495,wt. oz
349,24,21,jumbo
350,24,15,medium
351,25,208,cup
352,25,4.2883,teaspoon
353,25,100,g
354,25,13,tbsp
355,25,4.2867,teaspoon
356,25,12.87,tablespoon
357,25,4.29,teaspoon
358,25,12.8675,tablespoon
359,25,12.8667,tablespoon
360,25,28.3495,wt. oz
361,25,4.28,teaspoon
362,25,28.35,ounce
363,25,4.2,tsp
364,25,0.54,dash
365,26,100,g
366,26,1.49,nut
367,26,104.0,cup
368,26,28.3495,wt. oz
369,26,453.59,lb
370,26,28.35,ounce
371,26,28.35,oz (19 halves)
372,26,99,"cup, halve"
373,26,109,"cup, chopped"
374,27,137,"cup unsifted, dipped"
375,27,1.0,g
376,27,137.0,cup
377,27,100,g
378,27,28.3495,wt. oz
379,27,8.56,tbsp
380,27,2.85,tsp
381,28,4.6,tsp
382,28,0.9333,ml
383,28,0.29,pinch
384,28,4.6,teaspoon
385,28,100,g
386,28,13.8,tbsp
387,28,2.3,tsp
388,28,13.8,tablespoon
389,28,28.3495,wt. oz
390,28,220.8,cup
391,28,4.5833,teaspoon
392,29,4.67,teaspoon
393,29,14,tbsp
394,29,1.0,g
395,29,4.66,teaspoon
396,29,4.666,teaspoon
397,29,100,g
398,29,224.0,cup
399,29,14.0,tablespoon
400,29,4.67,tsp
401,29,946.7933,liter
402,29,28.3495,wt. oz
403,29,4.665,teaspoon
404,29,28.35,ounce
405,29,4.6667,teaspoon
406,29,0.9468,ml
407,30,208,cup
408,30,4.288,teaspoon
409,30,4.2867,teaspoon
410,30,100,g
411,30,13,tbsp
412,30,4.25,teaspoon
413,30,12.87,tablespoon
414,30,4.29,teaspoon
415,30,12.8675,tablespoon
416,30,28.3495,wt. oz
417,30,4.2933,teaspoon
418,30,4.28,teaspoon
419,30,28.35,ounce
420,30,0.87,ml
421,30,4.2,tsp
422,30,12.86,tablespoon
423,31,56,extra large
424,31,243,cup (4.86 large eggs)
425,31,100,g
426,31,38,small
427,31,28.3495,wt. oz
428,31,63,jumbo
429,31,50.0,large
430,31,44,medium
431,32,244.0,cup
432,32,15.25,tablespoon
433,32,1.0313,ml
434,32,1.0314,ml
435,32,1031.3333,liter
436,32,100,g
437,32,5.08,teaspoon
438,32,488.0,pint
439,32,976,quart
440,32,30.5,fl oz
441,32,3904.0,gallon
442,32,15.26,tablespoon
443,32,5.08,tsp
444,32,15.25,tbsp
445,32,5.085,teaspoon
446,33,128,cup
447,33,8,tbsp
448,33,2.67,tsp
449,33,2.665,teaspoon
450,33,8.0,tablespoon
451,33,0.541,ml
452,33,2.668,teaspoon
453,33,100,g
454,33,2.6675,teaspoon
455,33,2.666,teaspoon
456,33,2.67,teaspoon
457,33,28.3495,wt. oz
458,33,2.68,teaspoon
459,33,2.66,teaspoon
460,33,2.6667,teaspoon
461,34,238,"cup, fluid (yields 2 cups whipped)"
462,34,240,cup
463,34,100,g
464,34,120,"cup, whipped"
465,34,14.92,tablespoon
466,34,5,tsp
467,34,477.4,pint
468,34,1.0089,ml
469,34,15,tbsp
470,34,29.8,fl oz
471,34,238.0,cup
472,35,28.3533,ounce
473,35,14.2,oz hershey
474,35,28.3511,ounce
475,35,100,g
476,35,28.35,oz
477,35,29.0,square
478,35,28.35,ounce
479,35,29,oz square baker
480,35,132,"cup, grated"
481,35,28.36,ounce
482,36,18,medium
483,36,10,small
484,36,78.6671,cup
485,36,28.3533,ounce
486,36,23,large
487,36,100,g
488,36,28.3495,wt. oz
489,36,78.668,cup
490,36,78.67,cup
491,36,78.66,cup
492,36,453.5925,lb
493,36,6,slice
494,36,453.59,lb
495,36,28.35,ounce
496,36,35,cup piece
497,36,78.665,cup
498,36,70,"cup, pieces or slice"
499,36,1.0,g
500,36,78.6667,cup
501,36,453.6,lb
502,36,96,"cup, whole"
503,37,85,oz
504,37,1.0,g
505,37,453.5867,lb
506,37,926,package
507,37,5.42,tsp
508,37,100,g
509,37,16.25,tbsp
510,37,453.6,lb
511,37,453.5933,lb
512,37,453.59,lb
513,37,272,piece
514,37,189.0,breast
515,37,260,cup
516,38,100,g
517,38,14.7,tbsp
518,38,233.0667,cup
519,38,14.57,tablespoon
520,38,235.2,cup
521,38,4.9,tsp
522,38,29,fl oz
523,39,995.89,quart
524,39,1.0,g
525,39,100,g
526,39,249.0,cup
527,39,31.12,ounce
528,39,15.56,tbsp
529,39,5.19,tsp
530,39,31.12,fl oz
531,39,15.56,tablespoon
532,39,1052.3467,l
533,40,28.3333,slice
534,40,112.0,cup
535,40,28.3329,slice
536,40,28.33,slice
537,40,100,g
538,40,170,slice
539,40,28.35,oz
540,40,453.6,lb
541,40,28.35,ounce
542,40,112,"cup, shredded"
543,41,5,tbsp
544,41,5.625,tablespoon
545,41,1.875,teaspoon
546,41,100,g
547,41,5.6267,tablespoon
548,41,28.35,oz
549,41,5.63,tablespoon
550,41,28.35,ounce
551,41,1.88,teaspoon
552,41,2.08,tsp
553,41,100.0,cup
554,41,28.36,ounce
555,42,6,tbsp chopped
556,42,2.04,teaspoon
557,42,6.13,tablespoon
558,42,100,g
559,42,6.125,tablespoon
560,42,28.3495,wt. oz
561,42,15,"medium (4-1/8"" long)"
562,42,25,large
563,42,100,"cup, chopped"
564,42,100.0,cup
565,42,5,"small (3"" long)"
566,42,15.0,medium
567,43,56,extra large
568,43,243,cup (4.86 large eggs)
569,43,100,g
570,43,38,small
571,43,28.3495,wt. oz
572,43,63,jumbo
573,43,50.0,large
574,43,44,medium
575,44,208,cup
576,44,4.2867,teaspoon
577,44,100,g
578,44,13,tbsp
579,44,4.29,teaspoon
580,44,28.3495,wt. oz
581,44,4.28,teaspoon
582,44,4.2933,teaspoon
583,44,4.2,tsp
584,45,1.29,almond
585,45,138.0,cup
586,45,138,cup whole kernel
587,45,1.0,g
588,45,28.3511,ounce
589,45,8.625,tablespoon
590,45,100,g
591,45,8.63,tablespoon
592,45,28.3495,wt. oz
593,45,8.6267,tablespoon
594,45,453.59,lb
595,45,28.35,ounce
596,45,28.35,oz (22 whole kernels)
597,46,56,extra large
598,46,243,cup (4.86 large eggs)
599,46,100,g
600,46,38,small
601,46,28.3495,wt. oz
602,46,63,jumbo
603,46,50.0,large
604,46,44,medium
605,47,236.7293,cup
606,47,236.7289,cup
607,47,946.92,quart
608,47,473.4583,pint
609,47,236.7291,cup
610,47,946.9167,quart
611,47,14.795,tablespoon
612,47,4.9317,teaspoon
613,47,1000.0,kg
614,47,236.7321,cup
615,47,14.8,tablespoon
616,47,14.7967,tablespoon
617,47,100,g
618,47,4.93,tsp
619,47,473.46,pint
620,47,29.6,ounce
621,47,236.7296,cup
622,47,236.7273,cup
623,47,236.73,cup
624,47,4.9325,teaspoon
625,47,4.93,teaspoon
626,47,236.7313,cup
627,47,14.7958,tablespoon
628,47,236.7295,c
629,47,946.9183,quart
630,47,237,serving 8 fl oz
631,47,29.6,oz
632,47,236.7292,cup
633,47,236.7309,cup
634,47,236.7286,cup
635,47,29.6,fl oz
636,47,236.7305,cup
637,47,1000,liter
638,47,14.796,tablespoon
639,47,4.9333,teaspoon
640,47,236.7267,cup
641,47,4.9314,teaspoon
642,47,14.8,tbsp
643,47,236.7368,cup
644,47,1.0007,ml
645,47,236.728,cup
646,47,236.72,cup
647,47,946.9175,quart
648,47,236.8,cup
649,47,236.7333,cup
650,47,3787.67,gallon
651,47,236.7314,cup
652,47,1.0006,ml
653,48,48.0,cup
654,48,1.0,teaspoon
655,48,100,g
656,48,28.3495,wt. oz
657,48,3,tbsp
658,48,28.35,ounce
659,48,3.0,tablespoon
660,48,2,packet
661,48,1,tsp
662,49,275.3938,quart
663,49,4.25,tbsp
664,49,100,g
665,49,1.42,tsp
666,49,23,cup (makes 1 cup reconstituted milk)
667,49,68.84,cup
668,49,28.3495,wt. oz
669,49,68.848,cup
670,49,91,envelope (1-1/3 cup)
671,49,4.3033,tablespoon
672,49,68.85,cup
673,49,4.305,tablespoon
674,49,68.8507,cup
675,49,68,cup
676,50,96,cup
677,50,100,g
678,50,2,tsp
679,50,28.3495,wt. oz
680,50,6,tbsp
681,50,6.0,tablespoon
682,50,2.0,teaspoon
683,51,218.0,cup
684,51,4.5,teaspoon
685,51,100,g
686,51,4.53,tsp
687,51,13.5767,tbsp
688,51,28.3495,wt. oz
689,51,13.597,tablespoon
690,51,13.6,tablespoon
691,52,2.8,serving packet
692,52,100,g
693,52,28.3495,wt. oz
694,52,2.3,serving 1 cube
695,52,200.0,cup
696,52,4.2,tsp
697,52,12.55,tablespoon
698,52,12.6,tbsp
699,53,7.81,tbsp
700,53,125.0,cup
701,53,7.8127,tablespoon
702,53,100,g
703,53,7.816,tablespoon
704,53,7.8133,tablespoon
705,53,2.6,teaspoon
706,53,7.81,tablespoon
707,53,0.5283,ml
708,53,28.3495,wt. oz
709,53,7.815,tablespoon
710,53,7.812,tablespoon
711,53,7.8114,tablespoon
712,53,0.5284,ml
713,53,7.815,tbsp
714,53,7.8125,tablespoon
715,53,2.605,teaspoon
716,53,2.6,tsp
717,54,4.6,tsp
718,54,0.9333,ml
719,54,0.29,pinch
720,54,4.6,teaspoon
721,54,100,g
722,54,13.8,tbsp
723,54,2.3,tsp
724,54,28.3495,wt. oz
725,54,220.8,cup
726,54,4.6061,teaspoon
727,55,0.33,dash
728,55,0.325,dashe
729,55,0.528,ml
730,55,7.7879,tablespoon
731,55,0.16,pinch
732,55,7.8,tbsp
733,55,100,g
734,55,2.6,teaspoon
735,55,28.3495,wt. oz
736,55,7.8,tablespoon
737,55,28.35,ounce
738,55,124.8333,cup
739,55,124.8,cup
740,55,2.5833,teaspoon
741,55,2.6,tsp
742,56,2.2727,teaspoon
743,56,2.2632,teaspoon
744,56,105.6,cup
745,56,2.2667,teaspoon
746,56,7,tbsp
747,56,100,g
748,56,0.14,pinch
749,56,2.2,tsp
750,56,0.28,dash
751,56,28.3495,wt. oz
752,56,2.28,teaspoon
753,56,2.26,teaspoon
754,56,2.264,teaspoon
755,56,0.14,pinche
756,56,2.27,teaspoon
757,56,2.25,teaspoon
758,57,145,cup (not packed)
759,57,100,g
760,57,165,"cup, packed"
761,57,28.3495,wt. oz
762,57,155.0,cup
763,58,120,cup unsifted
764,58,100,g
765,58,100,cup sifted
766,58,7.5,tbsp
767,58,7.3133,tablespoon
768,58,2.5,tsp
769,58,7.31,tablespoon
770,58,28.3495,wt. oz
771,58,7.315,tablespoon
772,58,453.59,lb
773,58,120,cup
774,58,110.0,cup
775,58,8,tbsp unsifted
776,59,85.0,package
777,59,16,cubic inch
778,59,14.5,tbsp
779,59,1.0,g
780,59,100,g
781,59,4.83,tsp
782,59,28.35,oz
783,59,29,tbsp
784,59,85,"package, small (3 oz)"
785,59,453.59,lb
786,59,28.35,ounce
787,59,453.6,lb
788,59,232,cup
789,59,13.375,tablespoon
790,59,453.5933,lb
791,59,10,"tbsp, whipped"
792,60,100,g
793,60,21.655,tablespoon
794,60,21.6567,tablespoon
795,60,28.3495,wt. oz
796,60,22,tbsp
797,60,341,cup
798,60,21.66,tablespoon
799,60,7.1,tsp
800,61,100,g
801,61,201.0,"avocado, ns as to florida or california"
802,61,28.3495,wt. oz
803,61,150,"cup, cube"
804,61,230,"cup, pureed"
805,61,146,"cup, sliced"
806,62,20,"slice, medium (1/4"" thick)"
807,62,182.0,large
808,62,15,"slice, thin/small"
809,62,453.5933,lb
810,62,164.5152,cup
811,62,453.5923,lb
812,62,100,g
813,62,148,nlea serving
814,62,28.3495,wt. oz
815,62,658.0,quart
816,62,91.0,small
817,62,28.3503,ounce
818,62,91,"small whole (2-2/5"" dia)"
819,62,149,cup cherry tomatoe
820,62,123.0,medium
821,62,62,italian tomato
822,62,20.6675,slice
823,62,453.59,lb
824,62,28.35,ounce
825,62,62,plum tomato
826,62,1.0,g
827,62,182,"large whole (3"" dia)"
828,62,453.5867,lb
829,62,123,"medium whole (2-3/5"" dia)"
830,62,27,"slice, thick/large (1/2"" thick)"
831,62,164.5067,cup
832,62,28.3507,ounce
833,62,31,wedge (1/4 of medium tomato)
834,62,17,cherry
835,62,180,"cup, chopped or sliced"
836,62,20.6667,slice
837,62,164.52,cup
838,62,164.5,cup
839,63,8.5,tbsp
840,63,100,g
841,63,30,head
842,63,2.8,tsp
843,63,28.3495,wt. oz
844,63,3.0,clove
845,63,136,cup
846,63,9,clove
847,64,0.64,dash
848,64,15.13,tbsp
849,64,5.1,teaspoon
850,64,30.8,ounce
851,64,100,g
852,64,5.105,teaspoon
853,64,30.8,fl oz
854,64,44,lime yield
855,64,5.1067,teaspoon
856,64,242.0,cup
857,64,15.3067,tablespoon
858,64,5.04,tsp
859,64,15.31,tablespoon
860,65,228.0,cup
861,65,114,oz
862,65,1.0,g
863,65,100,g
864,65,453.6,lb
865,66,56.8,cup
866,66,4.3,"tbsp, ground"
867,66,1,"tsp, leave"
868,66,1.1667,teaspoon
869,66,100,g
870,66,2.7,"tbsp, leave"
871,66,1.2,teaspoon
872,66,1.18,teaspoon
873,66,1.185,teaspoon
874,66,28.3495,wt. oz
875,66,3.552,tablespoon
876,66,3.55,tablespoon
877,66,1.4,"tsp, ground"
878,67,2.076,teaspoon
879,67,2.0733,teaspoon
880,67,2.3,"tsp, ground"
881,67,2.07,teaspoon
882,67,2.08,teaspoon
883,67,2.0833,teaspoon
884,67,100,g
885,67,6.9,"tbsp, ground"
886,67,28.3495,wt. oz
887,67,6.22,tablespoon
888,67,2.072,teaspoon
889,67,0.13,pinch
890,67,2.9,"tsp, whole"
891,67,0.1,dash
892,67,2.075,teaspoon
893,68,28.3497,ounce
894,68,240.0,cup
895,68,100,g
896,68,960,container 32 oz
897,68,28.3495,wt. oz
898,68,5,tsp
899,68,28.35,ounce
900,68,15,tbsp
901,68,435,can 14.5 oz
902,69,745.6,bottle
903,69,29.4,fl oz
904,69,4.9,teaspoon
905,69,100,g
906,69,14.7,tbsp
907,69,14.7,tablespoon
908,69,147,serving (5 fl oz)
909,69,235.2,cup
910,69,4.9,tsp
911,69,147,glas
912,70,6.88,tbsp
913,70,85,nlea serving
914,70,100,g
915,70,10,medium
916,70,28.3495,wt. oz
917,70,2.29,tsp
918,70,15,large
919,70,110.0,cup
920,70,100,baby carrot
921,71,17.58,pearl onion
922,71,100,g
923,71,13.55,tbsp
924,71,4.52,tsp
925,71,28.3495,wt. oz
926,71,216.8,cup
927,72,63,"cup, whole"
928,72,100,g
929,72,34,pea pod
930,72,98,"cup, chopped"
931,72,28.3495,wt. oz
932,72,28.35,ounce
933,73,244,cup
934,73,15.25,tablespoon
935,73,15.2533,tablespoon
936,73,48,lemon yield
937,73,100,g
938,73,5.08,teaspoon
939,73,30.5,ounce
940,73,5.0825,teaspoon
941,73,30.5,fl oz
942,73,5.9,wedge yield
943,73,5.08,tsp
944,73,15.25,tbsp
945,73,5.085,teaspoon
946,74,4.5,teaspoon
947,74,100,g
948,74,28.3495,wt. oz
949,74,28.35,ounce
950,74,13.5,tablespoon
951,74,216,cup
952,74,4.5,tsp
953,74,6.75,tablespoon
954,75,425.25,can (15 oz)
955,75,240,cup
956,75,100,g
957,75,28.3495,wt. oz
958,75,5,tsp
959,75,28.35,ounce
960,75,15,tbsp
961,76,118,"ear large (7-3/4"" to 9"" long)"
962,76,8,baby ear
963,76,149,cup cut
964,76,3.02,tsp
965,76,100,g
966,76,102,"ear, medium (6-3/4"" to 7-1/2"" long) yield"
967,76,149.0,cup
968,76,89,"ear small (5-1/2"" to 6-1/2"" long)"
969,76,103,"ear medium (6-3/4"" to 7-1/2"" long)"
970,76,28.3495,wt. oz
971,76,9.06,tbsp
972,76,73,"ear, small (5-1/2"" to 6-1/2"" long)"
973,76,145.0,cup
974,76,143,"ear, large (7-3/4"" to 9"" long) yield"
975,77,91,"small whole (2-2/5"" dia)"
976,77,20,"slice, medium (1/4"" thick)"
977,77,149,cup cherry tomatoe
978,77,182,"large whole (3"" dia)"
979,77,100,g
980,77,123,"medium whole (2-3/5"" dia)"
981,77,27,"slice, thick/large (1/2"" thick)"
982,77,62,italian tomato
983,77,148,nlea serving
984,77,28.3495,wt. oz
985,77,31,wedge (1/4 of medium tomato)
986,77,164.5,cup
987,77,17,cherry
988,77,180,"cup, chopped or sliced"
989,77,15,"slice, thin/small"
990,77,62.0,plum tomato
991,78,6,tbsp chopped
992,78,6.13,tablespoon
993,78,100,g
994,78,28.3495,wt. oz
995,78,15.0,"medium (4-1/8"" long)"
996,78,25,large
997,78,100,"cup, chopped"
998,78,100.0,cup
999,78,5,"small (3"" long)"
1000,79,3.775,tablespoon
1001,79,10,sprig
1002,79,60.0,cup
1003,79,100,g
1004,79,28.3495,wt. oz
1005,79,3.7733,tablespoon
1006,79,3.8,tbsp
1007,79,60.8,cup
1008,79,1.27,tsp
1009,79,60,cup chopped
1010,79,3.77,tablespoon
1011,80,5.3,tbsp
1012,80,1.7867,teaspoon
1013,80,1.75,teaspoon
1014,80,5.35,tablespoon
1015,80,100,g
1016,80,86.4,cup
1017,80,28.3495,wt. oz
1018,80,1.8,tsp
1019,80,0.11,pinch
1020,80,1.8,teaspoon
1021,80,1.78,teaspoon
1022,81,163,"head (5"" dia)"
1023,81,55,"cup, shredded or chopped"
1024,81,5,leaf
1025,81,100,g
1026,81,28.3495,wt. oz
1027,81,15.0,large
1028,81,7.5,"leaf, medium"
1029,81,15,"leaf, large"
1030,82,28.35,oz
1031,82,100,g
1032,82,227,"cup, firmly packed"
1033,82,28.3514,ounce
1034,83,17,tbsp
1035,83,240.0,cup
1036,83,100,g
1037,83,5.67,tsp
1038,83,28.3495,wt. oz
1039,83,9,packet
1040,83,5.3333,teaspoon
1041,83,28.35,ounce
1042,83,16.0,tablespoon
1043,84,14.9,tbsp
1044,84,100,g
1045,84,14.95,tablespoon
1046,84,239.0,cup
1047,84,28.3495,wt. oz
1048,84,5,tsp
1049,84,4.98,teaspoon
1050,84,956.53,quart
1051,84,14.945,tablespoon
1052,85,182.52,cup
1053,85,182.5,cup
1054,85,182.504,cup
1055,85,11.0433,tablespoon
1056,85,11.04,tablespoon
1057,85,220,cup packed
1058,85,11.045,tablespoon
1059,85,100,g
1060,85,182.5152,cup
1061,85,28.3495,wt. oz
1062,85,11.042,tablespoon
1063,85,4.6,tsp packed
1064,85,453.59,lb
1065,85,28.35,ounce
1066,85,3.2,tsp brownulated
1067,85,145,cup unpacked
1068,85,3,tsp unpacked
1069,85,11.0425,tablespoon
1070,85,182.5067,cup
1071,86,8.5,tbsp
1072,86,100,g
1073,86,30,head
1074,86,2.8,tsp
1075,86,28.3495,wt. oz
1076,86,3.0,clove
1077,86,136,cup
1078,86,9,clove
1079,87,21.06,tbsp
1080,87,20,serving 1 tbsp
1081,87,337,cup
1082,87,21.06,tablespoon
1083,87,7.02,teaspoon
1084,87,21.065,tablespoon
1085,87,100,g
1086,87,28.3495,wt. oz
1087,87,7.02,tsp
1088,87,21.0633,tablespoon
